OTU_ID	C1_A	C10_A	C10_B	C10_C	C11_A	C11_B	C11_C	C12_A	C12_B	C12_C	C2_A	C2_B	C2_C	C3_A	C3_B	C4_A	C4_B	C4_C	C5_A	C5_B	C5_C	C6_B	C6_C	C7_A	C7_B	C7_C	C8_A	C8_B	C8_C	C9_A	C9_B	C9_C	J1_A	J1_B	J1_C	J10_A	J10_B	J10_C	J11_A	J11_B	J11_C	J12_A	J12_B	J12_C	J13_A	J13_B	J13_C	J14_A	J14_B	J14_C	J15_A	J15_B	J15_C	J16_A	J16_B	J16_C	J17_A	J17_B	J17_C	J18_A	J18_B	J18_C	J19_A	J19_B	J19_C	J2_A	J2_B	J2_C	J20_A	J20_B	J20_C	J21_A	J21_B	J21_C	J22_A	J22_B	J22_C	J23_A	J23_B	J23_C	J24_A	J24_B	J24_C	J3_A	J3_B	J3_C	J4_A	J4_B	J4_C	J5_A	J5_B	J5_C	J6_A	J6_B	J6_C	J7_A	J7_B	J7_C	J8_A	J8_B	J8_C	J9_A	J9_B	J9_C	M1_A	M1_B	M1_C	M10_A	M10_B	M10_C	M11_A	M11_B	M11_C	M12_A	M12_B	M12_C	M2_A	M2_B	M2_C	M3_A	M3_B	M3_C	M4_A	M4_B	M4_C	M5_A	M5_B	M5_C	M6_B	M6_C	M7_A	M7_B	M7_C	M8_A	M8_B	M8_C	M9_A	M9_B	M9_C	Taxonomy	Taxon	Taxon Level	Trophic Mode	Guild	Growth Morphology	Trait	Confidence Ranking	Notes	Citation/Source
160	5155	1010	2434	12987	402	7265	6434	256	23	140	599	2245	1206	4477	829	179	304	246	316	805	1354	13	33	1206	1556	427	19	14	71	987	6719	1164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	10	82	36	18	0	9	23	0	0	0	0	0	0	0	0	5	16	0	0	0	0	0	0	0	0	0	0	16	0	;Leohumicola	Leohumicola	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
472	8	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1640	3675	3058	2977	3345	881	2509	220	349	420	757	618	1965	3577	4677	0	15	5	0	0	0	11	0	13	0	0	39	0	0	0	0	0	0	1527	394	114	7	0	0	0	0	6	0	0	105	0	4	0	10	6	207	1533	645	525	118	1830	1073	2284	1693	320	1892	2185	1626	2203	1492	2151	66	52	12	825	3474	1780	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	;Archaeosporaceae	Archaeosporaceae	9	Symbiotroph	Arbuscular Mycorrhizal	NULL	NULL	Highly Probable	NULL	b'Cannon PF, Kirk PM. 2007. Fungal Families of the World. CAB International, Cambridge (ISBN: 978-0851998275); Redecker D, et al. 2013. Mycorrhiza 23:515-531 ((https://doi.org/10.1007/s00572-013-0486-y))'
73	135	474	462	101	638	38	46	119	803	1233	480	666	275	27	141	752	332	207	511	329	220	62	104	1686	707	585	2865	633	586	495	158	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2535	676	1956	2246	2317	831	3689	1157	1878	1525	1323	632	210	225	202	36	524	170	394	157	293	504	932	320	1093	1070	6135	2315	1028	1378	1257	2020	1330	555	274	;Acrocalymma	Acrocalymma	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
14	15194	423	532	259	168	64	162	378	528	763	1358	364	238	134	684	591	1058	909	638	149	342	333	472	11383	11958	2075	216	765	255	158	199	82	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	1031	58	20	22	40	5	0	26	0	0	103	55	34	5	90	47	353	50	8	56	43	0	48	11	31	32	8	51	22	30	164	119	55	;Antennariella	Antennariella	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	707	239	52	560	364	853	573	653	3017	626	787	746	812	615	316	1485	390	1579	38	39	63	35	17	14	125	75	60	2399	491	297	241	102	466	669	679	740	90	112	111	142	398	636	302	343	23	267	112	2505	363	311	213	814	865	632	787	777	861	665	411	400	559	760	544	1848	381	209	1303	138	151	1153	1463	971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	;Cadophora	Cadophora	13	Symbiotroph	Endophyte	Microfungus	NULL	Highly Probable	Dark Septate Endophyte, known from plant roots.	b'Tedersoo L, et al. 2010. Mycorrhiza 20:217-263 ((https://doi.org/10.1007/s00572-009-0274-x)); Newsham KK. 2011. New Phytologist 190:783-793 ((https://doi.org/10.1111/j.1469-8137.2010.03611.x)) (as DSE)'
482	90	70	98	178	95	587	372	618	1036	1533	309	262	487	18	226	278	943	646	63	334	839	250	707	87	226	273	284	772	270	298	205	224	17	39	287	6	57	52	28	618	49	16	35	20	36	41	73	64	486	0	415	60	82	14	105	45	0	27	23	81	55	416	62	235	526	6	0	9	47	243	160	299	111	39	138	140	55	1212	214	125	64	310	293	102	91	621	8	121	92	61	83	395	33	103	37	27	286	431	52	18	21	49	262	28	0	79	136	215	267	230	123	443	168	93	700	77	486	951	145	298	580	622	118	155	108	188	143	737	2989	133	56	352	337	276	473	304	1193	241	188	;Ramicandelaber	Ramicandelaber	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
137	2	0	4	3	1579	323	617	7	0	0	3	0	16	448	3320	3	6	0	0	3	12	0	81	0	0	0	0	20	8	16321	6984	2317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	;Trichoglossum	Trichoglossum	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
154	9	4	8	3	0	0	0	135	144	133	31	19	21	0	0	25	25	10	35	15	0	26	37	4	4	0	69	114	70	8	0	0	59	15	0	17	11	39	32	2	27	45	13	27	8	47	5	51	0	0	18	0	8	0	0	0	0	0	0	513	18	9	11	5	17857	5	43	0	0	41	0	0	0	0	0	2	0	13	31	2919	0	0	0	30	6	0	711	15	112	80	4	0	4	0	33	158	0	13	260	0	0	89	0	998	135	167	234	322	194	43	276	113	178	295	327	111	199	121	55	0	129	131	331	171	0	313	508	0	153	20	219	125	78	199	685	152	204	83	52	;Tetracladium	Tetracladium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
365	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	2	0	0	0	0	0	5670	654	158	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2901	1065	1285	0	0	0	0	0	0	5	0	0	0	0	38	2563	2314	1265	2971	3148	3223	1125	488	492	836	230	0	0	3	0	0	0	14	0	0	;Clitopilus	Clitopilus	13	Saprotroph	Undefined Saprotroph	Agaricoid	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
222	211	94	66	47	122	53	69	71	112	141	3075	161	125	89	470	105	203	189	196	126	246	162	318	271	0	54	914	1267	365	135	82	36	23	0	0	64	42	25	44	23	15	73	153	94	0	15	0	85	29	78	26	0	0	19	0	11	36	32	6	6	24	19	54	0	6	11	0	36	83	64	45	57	165	91	45	176	8	12	21	0	0	11	0	26	12	2	21	14	5	41	19	72	54	106	42	18	40	0	9	6	3	83	84	9	0	101	140	369	159	78	1132	412	316	1140	811	460	1191	815	544	183	572	316	1595	318	33	1049	1040	14	432	113	204	2385	337	129	160	91	724	288	396	;Metacordyceps	Metacordyceps	13	Pathotroph	Insect Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
311	72	722	810	123	696	85	261	93	405	971	742	419	484	1813	452	121	868	72	6594	1647	1045	612	549	278	111	95	502	243	172	282	50	47	0	37	63	14	0	0	6	7	0	7	4	12	48	102	257	33	0	0	0	0	0	42	0	45	0	0	10	66	56	0	0	46	0	38	107	19	0	87	0	17	0	4	64	47	177	6	0	0	44	19	0	45	0	0	32	16	11	82	0	25	94	0	13	6	6	61	33	87	37	0	56	0	58	22	327	209	344	58	44	57	52	215	127	217	476	299	109	6	205	54	479	125	0	55	0	0	417	188	105	40	47	95	98	228	310	22	12	;Nigrospora	Nigrospora	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
266	0	0	0	0	7	12	12	0	30	25	0	0	0	10	0	0	0	0	0	0	0	12	11	103	16	0	26	6	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	223	56	68	22	36	12	11	85	73	58	28	12	0	0	0	0	74	0	0	0	0	9	1669	14062	1323	438	1675	407	95	55	5463	26	92	;Myrothecium	Myrothecium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
386	147	1453	1141	41	12	0	166	0	491	243	5707	675	781	76	161	122	2590	60	4	24	0	110	1185	0	210	0	0	4	101	10	211	134	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1039	47	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	404	0	0	0	0	0	0	0	7	167	0	0	0	0	0	0	0	0	0	0	96	0	0	0	121	0	0	130	1252	9	194	2366	369	116	23	0	0	148	0	0	0	0	0	0	0	0	0	0	0	0	;Mycena	Mycena	13	Pathotroph-Saprotroph	Leaf Saprotroph-Plant Pathogen-Undefined Saprotroph-Wood Saprotroph	Agaricoid	NULL	Probable	NULL	b'Grgurinovic CA, Simpson JA. 2001. Fungal Diversity 8:97-127 ((http://www.fungaldiversity.org/fdp/sfdp/FD_8_97-127.pdf)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); The American Phytopathological Society Common Names of Plant Diseases ((http://www.apsnet.org/publications/commonnames/Pages/default.aspx))'
320	7	3580	1741	87	1706	98	308	22	277	486	1147	620	395	431	929	43	19	0	247	149	104	30	125	1248	257	549	1971	645	303	133	197	301	56	135	3	75	5	14	64	2	12	6	0	0	16	0	0	5	0	0	22	0	6	27	0	0	0	0	0	0	0	0	7	0	0	17	73	0	0	6	0	0	13	0	0	7	0	0	0	0	0	0	0	19	5	0	7	13	0	47	15	5	49	30	13	47	16	11	27	78	8	0	0	0	0	0	82	8	18	0	0	0	0	40	51	12	331	97	225	15	50	42	173	20	0	35	77	0	64	29	408	39	896	3	11	0	54	39	9	;Pestalotiopsis	Pestalotiopsis	13	Pathotroph	Plant Pathogen	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
303	49	128	23	16	74	23	17	60	314	106	231	89	23	158	56	23	29	0	0	25	21	5	0	253	153	35	74	0	22	14	15	3	142	179	159	97	31	43	97	49	100	121	35	130	358	321	61	253	105	764	154	162	257	923	50	197	262	157	111	538	124	263	209	116	55	161	181	28	167	100	191	110	529	118	26	66	78	104	51	0	424	237	166	218	79	54	943	146	329	836	61	110	115	58	50	93	274	50	200	820	31	63	86	688	141	0	71	122	48	53	168	268	105	197	198	47	519	275	292	13	896	84	225	33	0	52	50	0	390	72	93	40	15	97	153	74	149	32	39	;Conlarium	Conlarium	13	Saprotroph	Undefined Saprotroph	NULL	NULL	Probable	NULL	b'Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688))'
261	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44	16	19	346	0	58	270	164	34	195	130	177	1023	47	133	194	78	99	751	496	956	643	0	594	492	320	99	1179	1206	1151	44	8	30	162	731	282	740	1613	204	571	720	85	357	1339	66	61	0	13	159	32	74	323	104	31	220	51	135	383	132	55	108	222	0	103	80	250	174	311	40	55	14	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	;Tolypocladium	Tolypocladium	13	Pathotroph-Symbiotroph	Animal Pathogen-Clavicipitaceous Endophyte-Fungal Parasite	NULL	NULL	Possible	Endophyte detection method-culture (Gazis et al. 2014)	b'Gazis R, et al. 2014. Mycologia 106:1090-1105 ((https://doi.org/10.3852/13-346)); Tedersoo L, et al. 2014. Science 346:e1256688 ((https://doi.org/10.1126/science.1256688)); Quant CA. 2014. IMA Fungus 5:121-134 ((https://doi.org/10.5598/imafungus.2014.05.01.12))'
